Country,Department,Health Zone,Commune,Year,Population,0-5 Male Population,0-5 Female Population,0-5 Total Population,5+ Male Population,5+ Female Population,5+ Total Population,Male Total Population,Female Total Population,
Bénin,Mono,Lokossa-Athiémè,Lokossa (Com),2018,"121,907","9,406","9,235","18,638","50,155","53,107","103,269","59,561","62,342",
Bénin,Alibori,Malanville-Karimama,Malanville (Com),2018,"195,868","19,243","18,783","38,020","78,715","79,147","157,848","97,957","97,930",
Bénin,Atacora,Tanguiéta-Cobly-Matéri,Matéri,2018,"132,356","12,543","12,177","24,716","53,036","54,607","107,641","65,579","66,784",
Bénin,Borgou,N'Dali-Parakou,N'Dali (Com),2018,"120,608","11,430","11,096","22,522","48,328","49,760","98,086","59,758","60,856",
Bénin,Atacora,Natitingou-Boukoumbé-Toucountouna,Natitingou,2018,"131,945","12,817","12,491","25,304","53,522","53,132","106,642","66,339","65,623",
Bénin,Borgou,Nikki-kalalé-Pèrèrè,Nikki (Com),2018,"175,648","17,063","16,628","33,685","71,250","70,731","141,963","88,312","87,359",
Bénin,Donga,Djougou-Ouaké-Copargo,Ouake (Com),2018,"86,283","7,424","7,038","14,459","35,835","35,995","71,824","43,260","43,033",
Bénin,Collines,Savè-Ouèssè,Ouesse (Com),2018,"164,946","13,553","12,921","26,468","68,203","70,277","138,478","81,757","83,197",
Bénin,Atlantique,Ouidah-Kpomassè-Tori-Bossito,Ouidah,2018,"188,194","15,880","15,303","31,177","77,084","79,933","157,017","92,964","95,237",
Bénin,Zou,Covè-Zagnanado-Ouinhi,Ouinhi (Com),2018,"68,968","5,649","5,554","11,202","27,505","30,252","57,766","33,154","35,806",
Bénin,Borgou,N'Dali-Parakou,Parakou,2018,"296,725","28,824","28,090","56,904","120,363","119,486","239,820","149,187","147,576",
Bénin,Atacora,Kouandé-Péhunco-Kérou,Pehunco (Com),2018,"90,845","8,609","8,358","16,964","36,402","37,480","73,881","45,011","45,838",
Bénin,Borgou,Nikki-kalalé-Pèrèrè,Pèrèrè (Com),2018,"91,741","8,912","8,685","17,593","37,213","36,942","74,147","46,125","45,627",
Bénin,Plateau,Pobè-Kétou-Adja-ouèrè,Pobè (Com),2018,"143,645","11,921","11,545","23,461","57,732","62,436","120,183","69,653","73,981",
Bénin,Oueme,Porto-Novo-Sèmè-kpodji-Aguégués,Porto-Novo,2018,"306,994","25,963","24,745","50,696","124,098","132,180","256,298","150,061","156,925",
Bénin,Plateau,Sakété-Ifangni,Sakete,2018,"132,507","10,997","10,650","21,642","53,256","57,596","110,865","64,253","68,245",
Bénin,Collines,Savalou-Bantè,Savalou,2018,"167,886","13,795","13,151","26,940","69,419","71,530","140,947","83,214","84,681",
Bénin,Collines,Savè-Ouèssè,Savè,2018,"101,252","8,320","7,931","16,247","41,867","43,139","85,004","50,186","51,071",
Bénin,Alibori,Kandi-Gogounou-Ségbana,Segbana (Com),2018,"103,463","10,165","9,922","20,083","41,579","41,808","83,380","51,744","51,730",
Bénin,Oueme,Porto-Novo-Sèmè-kpodji-Aguégués,Seme-Kpodji (Com),2018,"258,656","21,875","20,848","42,714","104,558","111,368","215,942","126,433","132,216",
Bénin,Borgou,Bembèrèkè-Sinendé,Sinende (Com),2018,"106,472","10,343","10,079","20,419","43,189","42,875","86,054","53,532","52,954",
Bénin,Atlantique,Abomey-Calavi-So-ava,So-Ava,2018,"137,686","11,618","11,196","22,810","56,396","58,481","114,877","68,014","69,677",
Bénin,Atacora,Tanguiéta-Cobly-Matéri,Tanguieta (Com),2018,"86,731","8,219","7,980","16,196","34,754","35,783","70,535","42,973","43,763",
Bénin,Borgou,Tchaourou (ZS),Tchaourou (Com),2018,"259,163","25,176","24,534","49,701","105,126","104,361","209,463","130,302","128,895",
Bénin,Atlantique,Allada-Toffo-Zè,Toffo (Com),2018,"117,986","9,956","9,594","19,546","48,327","50,113","98,440","58,282","59,707",
Bénin,Atlantique,Ouidah-Kpomassè-Tori-Bossito,Tori-Bossito,2018,"66,937","5,648","5,443","11,089","27,417","28,431","55,848","33,065","33,874",
Bénin,Atacora,Natitingou-Boukoumbé-Toucountouna,Toukountouna,2018,"46,201","4,378","4,251","8,627","18,513","19,061","37,574","22,891","23,312",
Bénin,Couffo,Klouékamè-Toviklin- Lalo,Toviklin (Com),2018,"102,917","8,469","8,269","16,735","39,940","46,216","86,182","48,409","54,485",
Bénin,Zou,Bohicon-Za-kpota-Zogbodomey,Za-Kpota (Com),2018,"154,261","12,635","12,424","25,055","61,521","67,664","129,207","74,156","80,087",
Bénin,Zou,Covè-Zagnanado-Ouinhi,Zagnanado (Com),2018,"63,951","5,238","5,150","10,387","25,504","28,051","53,564","30,742","33,201",
Bénin,Atlantique,Allada-Toffo-Zè,Ze (Com),2018,"124,174","10,478","10,097","20,571","50,861","52,741","103,603","61,339","62,839",
Bénin,Zou,Bohicon-Za-kpota-Zogbodomey,Zogbodomey (Com),2018,"107,939","8,841","8,693","17,531","43,047","47,346","90,408","51,888","56,039",
,,,,,,,,,,,,,,
